K80|9647
4B2F|9520
2S5052|3169
3T0|6538
09F98C0|4392
DX631862D7|-6242
9V2Y0CQ8|-13014
T06I32|-3949
AS27J8|-4469
1L8992|3695
AK4F202|5190
5KG4|-4708
GS0C|8290
683A5F9455|-7298
I2F|-6331
3E51|1238
QBM125|5530
T8L1Z48Q7V|5205
97KF405086|5678
901787DWY|1456
21Y|5496
DQN9|8516
5CR8827|-6262
59A2|-6126
JR0I6Z1SV|6028
ICPC087O|-6225
CX174|-15129
7OUS3N|3914
63K7I4846P|-4010
626F|976
5LVVLJH|10146
Y68F401|13052
D80|-1165
566GIV40|-5858
6UHH47L4|-1383
06AV8DN9|4462
0C7NT4|-1401
52OUB7C4V|3379
728FRX7F92|-3271
0T5|5113
6NI1Q|9555
VQS|11322
276C36S|-6146
183I|12774
5X6033S|4183
7Z4DRC|-9167
2515PSA67|7292
GCU7AMWYJ3|5573
N2A8|-2060
N7C32VMH0A|-9709
JJ40S0|9953
5078B0J|-2376
N4Q516KS|6446
4MFHQA152M|-12
HI9UH|1913
5TZ|2760
UKRW5680|-3881
D3UD|-6063
1KN997AM96|-1675
PEO|-3871
L47581YLX|-7898
51VV|-11527
FT3WX7|-6828
D3FV6K|2028
2H4F5|-9397
6EWW244|-10464
VWZMRZ|-3298
TD2|2508
ORI33YU|-2880
GS7|-2594
MV0W|-9085
R099EK9I2K|-7452
NKX2|-12564
N53VK9GR|-10918
18J21X|-3817
910J5|1322
U9A09Z39|-8020
1C7HH153|-10778
IPT9|5752
9SBFHE|-3533
3L7M052U|4488
XJ4G4T71C|955
392R152MEY|-3257
M25MP19NT|-5714
O5MV1RH839|-12775
E5QIYC|-4522
E4P0AYMD36|3685
7N80YW|6025
YT318Z7|-1992
77YC3C11D1|-5296
W8E97B|91
860G4QL7J|-9340
C72|-17156
4UM|7456
P1W23A|-5252
2Q1WX9|4783
X1901E|-307
H3Q|-16102
28J|-818
9U7UNCH6|-1114
QB894WS372|3441
I4J92V4R|5277
5R72A54LU|-6165
TL8PN1O|-680
XAC|6927
ODZIX|-5718
81R77386|-2114
2E3|-3509
P6R0WJ|-7363
L23373NN1|9991
X89C78U|3555
9GAW55|24
W0I|-10747
Q54LR993B5|-4589
AGP8OF|8313
411IYEV00|6819
AFG9|-14808
3HQG8D|-13063
LFU0178X|-4514
XN2TTM4D43|-6623
LGNLI|-1166
05FLZ|-273
5PKKX8|-3783
978|-545
4CFW|5343
E0BW2Q3|-10270
1KW|-7940
576J7E8GI|3347
3OD1JM|-5170
IRD6LS|1395
441I996R8Z|10979
V82R9A80|-8055
0012|-12718
QVKEN1615|-970
Y7A043Y|-6365
0S3C1UY8|-2792
03N|-4016
06OOHW628|-9010
PL5|-10722
K6Q859GR|-14558
38V0K|-8949
JGN147|-2924
J469B9|525
68W6HU5UT8|8181
0K8MU9CC3|5890
PF6F|-183
D180Y7I4|7330
7T6QX94ZD2|-9297
7ABM232|-9496
939O3G3|9173
9VIUI57|-3171
42O1H6|6932
BFA43|-5454
2NJ2994|10584
0VM2C|3950
L3AA91|797
YJY|-2315
R4E4OUS04|33
LBVO79N|486
T17RJ102D|4778
B324T|4744
S07V8S7B|10129
X79|-8433
25QQ15N|-7552
K2X149K8OX|422
A2C73BV08G|3213
R9LZ|-2908
RA0A|11064
A19Z18GY8|-12423
5BYYN92B2U|11252
C2JC2U01EW|-3858
5R0L8D|-6153
DKQ|-1079
K60A8|-4589
IW2|3412
2UFNK|6452
1F798A|1508
I9N8|-753
37QD41M|9168
6MS8YU48S|-1863
T88P5U7Y|-5107
C649H3|4640
F7W6F2|6169
O7S4702H4|-8977
80382H|-1670
49K1M|4946
U61W7XLOLG|-10542
SQ8M|-4605
U5FFAPG607|-1969
0GO8C|-14360
UKT366U|-91
4409C17|-5924
4UU912NI|-9994
X4493|4743
C3J7D1EX|-12491
478U|9237
5Q1|1143
04R6|-310
9X7T|-2550
953GMFIS|-4556
065|-9733
7FJ0TR3XR7|3209
86D63PM88O|619
82R97|-5908
8NC10|5194
RWZVJ|-1075
Y40W56T|4312
8902Y60WY|-9693
KRY858H0|-8908
TQ545TR9KZ|4302
SQH06B5|-9389
Z33MK|-8493
QZMI1|-896
7ZK|4888
933T|7720
0OS|-911
05N|-976
6MUX119|7157
W61P0UD40V|-7388
8XZB8225|-11287
3X7L4K|-8521
9356|809
K0K|12953
AL9D0N0|-5082
5Q7EPR2H5|1320
A4Q|10546
5EQW4Q9|-8467
DB2|6752
7GWS|7254
2960A2G|14029
LH55Q|3257
2Q0Z69E7MH|-2968
BFCP371|3884
9E4K52|-12230
G4WGKNJ78O|-5254
OWW667U216|4681
MLK|8576
O38H82E975|4937
X2CVS2R75|3317
571|-5373
4L8ORIY22P|-1848
56V0R|9041
064WBR51|2631
15494B9I|-11016
526905812|6021
YD5|2394
0SGVMWH8|5804
9O4111T|-410
FF96UNXP9|-13113
TRW|2516
RSN8E|-945
4Q425|9095
42R319AH|4845
0RY3YM09|4764
BXLI28J|1798
LOCRW1F|-3720
F7M6|-8112
I7H9X4U|-1109
1G1Q|-6352
212NJ66|-3077
ZCZ1|1162
94WJCU|-3006
LN5|8979
H2198J34HW|9399
J5A48V|-8235
500RN2|-16089
96004Y|-4777
Y0KA|2504
OI9NK|9491
XBH60324|-5234
C288Q130M3|10490
01655Z5C|-10481
5229E|2465
KG8|-10313
0Z11DW85|2869
N5KCER9U4|-10154
A1O|3163
0DW7|9868
C6VVADS|-1108
J07|2984
CX7W|-1426
GKY486VDQ|-5053
2065A01|-10233
120HYA2|2130
LSD22|4833
FHI|-2740
2U5058L4|9610
7513B|6125
OL2Z08PH2|2098
2EVT2141|-3990
CNQ8Z75|5286
3LW05R|-12783
6545X7M25A|-5134
OP7|-8573
02QLWP1V|-11224
5ZZM8|4669
I3L65Y5223|-1782
V1ZNKBSS5|-5049
JD62MPI|-2685
5W36ZP|5950
23MUY23|-5330
9KVE842|5115
T0A47|2350
5Z8|7284
3RD28L|-11744
78L45|-447
2NF214R64O|7889
66LJ|-9739
2M7AMUO|3342
A99R10A94N|11477
I30IL490K|-705
S6IBE773|-11413
IEF6ELTN|9512
450WB68W5X|-10743
47DEFD|5971
X7HM|-3439
XX87BATH7L|6489
HF8|-2719
00A2|-5348
39H2598|-9002
IKO2873T13|-4535
0343WX4|-8597
SWLR5K5945|5058
J67|11613
P38N4K0M4|3952
0HLA9|-719
5BS|12074
MU5BUERF21|5734
11362|1658
7C5E520|-1930
S00W|-9513
90M9P677E8|6445
6R964|4169
34S561P6|-3440
I025|8761
T8G2H7MF|9491
QTV9|11583
LKU8WG|-14112
SBM0GIP|-340
1RU|-9237
7ZVBO5JR|-4073
NA01|3146
B50J4P|-4473
23CA|1600
LTR|4937
7T9FM|-16662
3P2M21Y|6298
7S73A|-9955
DH8924|3241
NFHQ61|833
H2OM5VL|1212
02L|-3266
9DD9WJ|-11146
9B6NT7Q2|4073
YGS|6835
7J888399|-6391
L46|-8611
PB4J5075RV|11024
4G4U4888K|-4789
14406R|-10095
6H339|4810
016NB2DE|1643
IG1OE1|-3866
T486614|-3340
Z9214W8IQT|1154
W29C48|5608
M93UQ503HK|2266
PPIV0HK18|-948
DQOW07|-14790
5RYNSN5M75|-5251
05818L9B3|1321
6O4VDG|-13267
S7QP|-7862
2KV05MXV|3388
C1R20Z|311
YF5|-7843
MX5V|-1838
ARE3EK6Z9|6723
59BPRTPEF3|5704
X83|-6033
19T5P2C|-14106
M19EP|-2970
K3U0C2232|-404
ZQ1S0W3VL|-1370
U6T3Q4|2269
SS08ZD4|-4414
7SV1J7W84|1321
7V0|-574
5U47|-8125
QT833L998|-5634
47PKB21GD|-6268
255E7|8491
7ZNQ8D68E|155
3Y0X83M0Q6|9274
MG5R|-2308
42D5NEE6|3185
A3O1E4K|2600
QEQKHF|-1337
51E|-4618
1M299|2669
PCUI6G|-5184
B550DF|652
BNE9|7694
YWF5A19|-9234
889|-14100
62LRZHPVFO|-10471
036875|-5782
Z2908307M8|10226
NSU901F|8706
8W0R980|3231
12VV|5690
TU98D78FQ|7445
279L|2240
6SFC06XW|12818
400|-12023
88IZ8I8E7|-2847
76448858|2851
217737|-6626
QA0Q4R87C4|-8667
D2Q4G28VY7|-6236
QL7|-2121
D1DN|3261
6C0S4|7635
7FN88B|-11288
CKL1MLV7C|6499
J2KH553XT9|6268
X9R5V8YT63|-10396
03M|6669
F5J7ND10V|4349
77P0J831O|-9844
110OW|-10744
6MT1|-6458
F6N9L20F1G|-3202
QNKZC|8827
S23|-3402
6N9DW8|7598
788|-11963
M547|-2568
UX75YK19|-8329
6JH58|5137
M153S581|792
VC9V|-10292
V8WO0HK6Z|-3379
B8QBW7J|-7283
HREIP552|735
C918GP|-5377
I4K60|-6022
6IX20KL|1128
1SMP1NN|-1693
0TXY6SES7K|-8074
A48SQ7697|2453
C41SID|7056
Z3N|-7130
6U31945E1|-8412
02CXYMDZ|5426
A49P1X|-1782
6C5WZ0J|-382
99OOZY52|-8378
3D20H88|3325
5LQ2|8075
5S3ML9593F|-123
NM0K3Z3MK|-3207
QD8|-667
76GYM|-9818
Y77M6H0|10973
O06TC92R3|-11845
I3MDA02X67|-8989
658R241|-5304
LGSUQ5Z6|10940
11RWM|75
QAOK76|-929
680ESF|2191
54I0U7|-9941
2EWN29|-7480
